fetchTimestamp,ticker,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,open,dayHigh,dayLow,volume,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
2026-05-08T10:56:47.010886,EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://eicher.in,Chennai,2011820457984,1778218021,7334.0,7299.5,7338.0,7228.0,87818,7327.5,6.5,0.088706926,5219.5,8230.0,7116.82,7002.865,641246,274314204,0.49866,0.27292,48704499712,4457800192,224315392000,,0.23883,805.256,9.107663,37.62762,31.864239,194.91,0.96,0.35900003,10:1,1598227200.0,0.3
2026-05-08T10:56:47.010886,HDFCLIFE.NS,HDFC Life Insurance Company Limited,Insurance - Life,Financial Services,NSE,https://www.hdfclife.com,Mumbai,1347113320448,1778218021,624.45,625.5,628.0,618.3,830428,625.4,-0.9500122,-0.15189259,555.1,820.75,618.997,720.063,4790013,2157279702,0.55966,0.27166,19902300160,30990000128,998551191552,0.11281,0.01915,82.417,7.5767136,70.320946,50.933933,8.88,0.34,0.237,,,0.514
2026-05-08T10:56:47.010886,ITC.NS,ITC Limited,Tobacco,Consumer Defensive,NSE,https://www.itcportal.com,Kolkata,3843414556672,1778218021,306.75,308.9,308.9,305.7,4306107,307.4,-0.6499939,-0.2115177,287.0,444.2,303.529,364.345,21021118,12529468231,0.27456,0.51461,185599197184,3629700096,798087184384,,0.43890998,56.707,5.409385,18.865313,18.33034,16.26,4.67,0.8825,3:2,1467331200.0,-0.024
2026-05-08T10:56:47.010886,NESTLEIND.NS,Nestlé India Limited,Packaged Foods,Consumer Defensive,NSE,https://www.nestle.in,Gurugram,2881865908224,1778218022,1494.5,1476.6,1494.9,1470.0,442274,1476.0,18.5,1.2536424,1084.7,1494.9,1280.322,1250.7195,1655504,1928314320,0.62918997,0.17128,13408700416,4441600000,231545995264,0.76338995,0.15112,26.743,55.88378,82.3416,63.087635,18.15,0.81,0.66120005,2:1,1754611200.0,0.489
2026-05-08T10:56:47.010886,GRASIM.NS,Grasim Industries Limited,Building Materials,Basic Materials,NSE,https://www.grasim.com,Mumbai,2010782367744,1778218022,2965.0,2960.6,2980.4,2932.1,148597,2960.6,4.3999023,0.14860016,2502.5,2980.4,2708.662,2784.3855,946494,678114605,0.47864,0.25332,254070898688,2054033899520,1685968912384,,0.026719999,1468.673,2.0188293,44.512836,26.317217,66.61,0.34,0.15,5:1,1475712000.0,0.288
2026-05-08T10:56:47.010886,WIPRO.NS,Wipro Limited,Information Technology Services,Technology,NSE,https://www.wipro.com,Bengaluru,2069468282880,1778218021,197.45,198.0,198.94,196.7,8182327,197.36,0.08999634,0.04560009,186.5,273.1,198.2342,233.9762,21267846,10480973523,0.72746,0.14987001,543235014656,202910007296,926240014336,0.15487,0.14248,85.612,2.3063354,15.7330675,13.737593,12.55,8.61,0.8758,2:1,1733184000.0,0.374
2026-05-08T10:56:47.010886,NTPC.NS,NTPC Limited,Utilities - Regulated Electric,Utilities,NSE,https://www.ntpc.co.in,New Delhi,3872363905024,1778218021,399.35,398.0,400.45,397.15,1550888,400.35,-1.0,-0.24978144,315.55,414.4,384.129,350.1065,12196927,9696666134,0.53275,0.38759997,128116301824,1234561925120,1875305562112,,0.12892,198.221,2.0146706,22.112404,14.916588,18.06,2.84,0.4758,6:5,1552953600.0,0.315
2026-05-08T10:56:47.010886,POWERGRID.NS,Power Grid Corporation of India Limited,Utilities - Regulated Electric,Utilities,NSE,https://www.powergrid.in,Gurugram,2906903543808,1778218022,312.55,315.2,315.2,310.6,2941596,313.8,-1.25,-0.3983429,250.0,324.95,304.215,284.74274,14704276,9300603819,0.52614,0.35633,96366100480,1396777156608,473426100224,,0.32792,106.531,2.9338877,20.035255,16.88929,15.6,3.9,0.5776,4:3,1694476800.0,0.24
2026-05-08T10:56:47.010886,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Medical Care Facilities,Healthcare,NSE,https://www.apollohospitals.com,Chennai,1150996185088,1778218023,8005.0,7837.0,8062.5,7812.5,480408,7837.0,168.0,2.142857,6677.5,8099.5,7586.98,7489.9023,435637,143784657,0.28019,0.48646,31439998976,79872000000,242151997440,,0.07441,632.453,12.657067,63.840816,48.107746,125.39,0.26,0.1516,2:1,1283385600.0,0.157
2026-05-08T10:56:47.010886,TRENT.NS,Trent Limited,Apparel Retail,Consumer Cyclical,NSE,https://trentlimited.com,Mumbai,1528240537600,1778218026,4299.0,4283.2,4318.9,4266.7,128821,4294.1,4.8999023,0.11410778,3275.5,6261.0,3838.156,4367.389,1110719,355487461,0.41904,0.28679,9305299968,25612500992,200742092800,0.27126,0.08566,196.475,21.880646,88.69404,57.49512,48.47,0.14,0.1034,3:2,1780531200.0,0.379
2026-05-08T10:56:47.010886,MAXHEALTH.NS,Max Healthcare Institute Limited,Medical Care Facilities,Healthcare,NSE,https://www.maxhealthcare.in,Gurugram,984776704000,1778218027,1011.85,1013.6,1024.6,1007.4,427770,1015.3,-3.4500122,-0.33985245,903.0,1314.3,994.681,1086.6794,2741843,973243789,0.26508,0.52595,4970200064,32750200832,81403002880,,0.17434,102.713,9.851236,69.68664,48.343582,14.52,0.15,0.103199996,,,0.129
2026-05-08T10:56:47.010886,ASIANPAINT.NS,Asian Paints Limited,Specialty Chemicals,Basic Materials,NSE,https://www.asianpaints.com,Mumbai,2481067393024,1778218027,2588.1,2540.0,2593.4,2515.4,715870,2530.6,57.5,2.273446,2115.0,2985.7,2324.622,2527.2905,1224676,958644295,0.52924,0.26985002,56484900864,35570900992,346495287296,,0.11098,204.34,12.665656,64.73487,51.634434,39.98,0.99,0.62450004,10:1,1375142400.0,0.284
2026-05-08T10:56:47.010886,SBILIFE.NS,SBI Life Insurance Company Limited,Insurance - Life,Financial Services,NSE,https://www.sbilife.co.in,Mumbai,1877888729088,1778218026,1872.1,1874.9,1878.7,1865.2,177898,1872.2,-0.099975586,-0.005340291,1693.1,2132.0,1885.37,1928.35,1311778,1003092121,0.58469003,0.29766,32079400960,0,1122911125504,0.13697,0.022,189.622,9.8728,76.28769,53.962795,24.54,0.14,0.1097,,,0.359
2026-05-08T10:56:47.010886,CIPLA.NS,Cipla Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://www.cipla.com,Mumbai,1098099785728,1778218024,1359.4,1355.0,1366.7,1344.4,255986,1362.3,-2.9000244,-0.21290834,1165.7,1673.0,1276.02,1438.4625,1714472,807782631,0.3096,0.40395,106022404096,4673699840,279671898112,,0.16256,407.531,3.3356972,24.162817,24.651812,56.26,0.95,0.23110001,5:2,1145836800.0,0.093
2026-05-08T10:56:47.010886,JSWSTEEL.NS,JSW Steel Limited,Steel,Basic Materials,NSE,https://www.jswsteel.in,Mumbai,3112783839232,1778218027,1275.4,1283.4,1284.9,1266.8,257985,1283.4,-8.0,-0.62334424,935.0,1306.8,1205.686,1161.2595,1830172,2440633358,0.64661,0.16738,189329997824,1011070009344,1791089967104,,0.041589998,340.317,3.7476826,41.912586,21.107447,30.43,0.22,0.092,10:1,1483488000.0,0.6
2026-05-08T10:56:47.010886,TATACONSUM.NS,Tata Consumer Products Limited,Packaged Foods,Consumer Defensive,NSE,https://www.tataconsumer.com,Mumbai,1159333150720,1778218027,1171.4,1155.0,1173.9,1155.0,819770,1151.7,19.700073,1.7105213,1007.2,1220.9,1098.012,1130.942,1360320,989561780,0.34388,0.33651,22917500928,25761099776,194650292224,,0.07542,205.423,5.70238,78.82907,57.43224,14.86,0.72,0.5563,10:1,1277856000.0,0.412
2026-05-08T10:56:47.010886,DRREDDY.NS,Dr. Reddy's Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://www.drreddys.com,Hyderabad,1080541577216,1778218026,1297.8,1303.5,1310.2,1290.2,379327,1307.6,-9.799927,-0.7494018,1138.5,1379.7,1273.14,1257.3824,2205342,832594805,0.29451,0.5145,82588999680,67732000768,345831014400,0.161,0.16363001,447.25,2.901733,19.124668,23.568863,67.86,0.61,0.1179,5:1,1730073600.0,0.29
